Category,Program Name,Course ID,Opening Rank,Closing Rank,Institute Name
General,Biological Sciences,1101,1,5,IISc Bangalore 
General,Biotechnology,1101,7,12,IISc Bangalore 
General,Applied Geology,1201,1,31,IIT Bombay 
General,Applied Geophysics,1202,60,170,IIT Bombay 
General,Applied Statistics & Informatics,1203,9,50,IIT Bombay 
General,Biotechnology,1204,2,28,IIT Bombay 
General,Chemistry,1205,3,52,IIT Bombay 
General,Mathematics,1206,5,37,IIT Bombay 
General,Physics,1207,1,50,IIT Bombay 
General,M.Sc. (Physics) ? MTech (Materials Sciences with specialization in Nano Science & Technology),1216,63,197,IIT Bombay 
General,Chemistry,1301,21,136,IIT Delhi 
General,Mathematics,1302,4,87,IIT Delhi 
General,Physics,1303,16,185,IIT Delhi 
General,Chemistry,1401,130,210,IIT Guwahati 
General,Mathematics & Computing,1402,101,220,IIT Guwahati 
General,Physics,1403,115,245,IIT Guwahati 
General,Chemistry,1501,5,45,IIT Kanpur 
General,Mathematics,1502,36,105,IIT Kanpur 
General,Physics,1503,3,72,IIT Kanpur 
General,Statistics,1504,1,65,IIT Kanpur 
General,Physics,1505,30,189,IIT Kanpur 
General,Chemistry,1601,5,118,IIT Kharagpur 
General,Geology,1602,8,47,IIT Kharagpur 
General,Mathematics,1603,19,173,IIT Kharagpur 
General,Physics,1604,17,149,IIT Kharagpur 
General,Geophysics (GG),1605,42,90,IIT Kharagpur 
General,Geophysics (PH),1605,143,251,IIT Kharagpur 
General,Chemistry,1701,85,244,IT Madras 
General,Mathematics,1702,43,150,IT Madras 
General,Physics,1703,75,198,IT Madras 
General,Applied Geology,1801,30,42,IIT Roorkee 
General,Biotechnology,1802,20,56,IIT Roorkee 
General,Chemistry,1803,93,146,IIT Roorkee 
General,Mathematics,1804,100,189,IIT Roorkee 
General,Physics,1805,175,230,IIT Roorkee 
General,Chemistry,1901,160,260,IIT Bhubaneswar 
General,Mathematics,1902,181,324,IIT Bhubaneswar 
General,Physics,1903,284,384,IIT Bhubaneswar 
General,Geology,1904,400,500,IIT Bhubaneswar 
General,Atmosphere andOcean Sciences (CY),1905,223,225,IIT Bhubaneswar 
General,Atmosphere andOcean Sciences (GG),1905,79,95,IIT Bhubaneswar 
General,Atmosphere andOcean Sciences (MA),1905,289,301,IIT Bhubaneswar 
General,Atmosphere andOcean Sciences (MS),1905,52,54,IIT Bhubaneswar 
General,Atmosphere andOcean Sciences (PH),1905,316,340,IIT Bhubaneswar 
General,Chemistry,2001,167,238,IIT Gandhinagar 
General,Mathematics,2002,75,250,IIT Gandhinagar 
General,Physics,2003,107,267,IIT Gandhinagar 
General,Chemistry,2101,201,231,IIT Hyderabad 
General,Mathematics / Mathematics & Computing,2102,250,271,IIT Hyderabad 
General,Physics,2103,300,420,IIT Hyderabad 
General,Chemistry,2201,241,301,IIT Indore 
General,Physics,2202,256,315,IIT Indore 
General,Mathematics,2203,232,270,IIT Indore 
General,Mathematics,2301,132,264,IIT Ropar 
General,Chemistry,2302,215,279,IIT Ropar 
General,Physics,2303,290,325,IIT Ropar 
General,Chemistry,2501,293,356,IIT Patna 
General,Mathematics,2502,303,326,IIT Patna 
General,Physics,2503,210,267,IIT Patna 
Obc,Biological Sciences,1101,22,35,IISc Bangalore 
Obc,Biotechnology,1101,83,115,IISc Bangalore 
Obc,Applied Geology,1201,20,54,IIT Bombay 
Obc,Applied Geophysics,1202,143,300,IIT Bombay 
Obc,Applied Statistics & Informatics,1203,175,320,IIT Bombay 
Obc,Biotechnology,1204,60,210,IIT Bombay 
Obc,Chemistry,1205,67,150,IIT Bombay 
Obc,Mathematics,1206,46,151,IIT Bombay 
Obc,Physics,1207,123,313,IIT Bombay 
Obc,Environmental Science andEngineering – Biotechnology,1213,79,79,IIT Bombay 
Obc,Environmental Science andEngineering – Chemistry,1213,511,523,IIT Bombay 
Obc,Environmental Science andEngineering – Physics,1213,600,650,IIT Bombay 
Obc,Operational Research – Mathematics,1214,133,200,IIT Bombay 
Obc,Operational Research – Mathematical Statistics,1214,258,281,IIT Bombay 
Obc,M.Sc. (Physics) ? MTech (Materials Sciences with specialization in Nano Science & Technology),1216,308,450,IIT Bombay 
Obc,Chemistry,1301,128,389,IIT Delhi 
Obc,Mathematics,1302,108,250,IIT Delhi 
Obc,Physics,1303,210,385,IIT Delhi 
Obc,Chemistry,1401,310,534,IIT Guwahati 
Obc,Mathematics & Computing,1402,328,401,IIT Guwahati 
Obc,Physics,1403,481,600,IIT Guwahati 
Obc,Chemistry,1501,96,301,IIT Kanpur 
Obc,Mathematics,1502,123,208,IIT Kanpur 
Obc,Physics,1503,67,135,IIT Kanpur 
Obc,Statistics,1504,65,269,IIT Kanpur 
Obc,Physics,1505,225,250,IIT Kanpur 
Obc,Chemistry,1601,153,445,IIT Kharagpur 
Obc,Geology,1602,43,88,IIT Kharagpur 
Obc,Mathematics,1603,285,350,IIT Kharagpur 
Obc,Physics,1604,233,498,IIT Kharagpur 
Obc,Geophysics (GG),1605,129,195,IIT Kharagpur 
Obc,Geophysics (PH),1605,631,634,IIT Kharagpur 
Obc,Chemistry,1701,305,513,IT Madras 
Obc,Mathematics,1702,231,361,IT Madras 
Obc,Physics,1703,347,629,IT Madras 
Obc,Applied Geology,1801,83,103,IIT Roorkee 
Obc,Biotechnology,1802,111,330,IIT Roorkee 
Obc,Chemistry,1803,298,412,IIT Roorkee 
Obc,Mathematics,1804,264,314,IIT Roorkee 
Obc,Physics,1805,414,543,IIT Roorkee 
Obc,Economics (MA),1806,523,605,IIT Roorkee 
Obc,Economics (MS),1806,311,340,IIT Roorkee 
Obc,Chemistry,1901,579,638,IIT Bhubaneswar 
Obc,Mathematics,1902,361,523,IIT Bhubaneswar 
Obc,Physics,1903,620,800,IIT Bhubaneswar 
Obc,Geology,1904,95,179,IIT Bhubaneswar 
Obc,Atmosphere andOcean Sciences (CY),1905,794,794,IIT Bhubaneswar 
Obc,Atmosphere andOcean Sciences (GG),1905,244,244,IIT Bhubaneswar 
Obc,Atmosphere andOcean Sciences (MA),1905,622,622,IIT Bhubaneswar 
Obc,Atmosphere andOcean Sciences (MS),1905,364,364,IIT Bhubaneswar 
Obc,Atmosphere andOcean Sciences (PH),1905,910,910,IIT Bhubaneswar 
Obc,Chemistry,2001,389,543,IIT Gandhinagar 
Obc,Mathematics,2002,360,435,IIT Gandhinagar 
Obc,Physics,2003,589,850,IIT Gandhinagar 
Obc,Chemistry,2101,531,597,IIT Hyderabad 
Obc,Mathematics / Mathematics & Computing,2102,402,465,IIT Hyderabad 
Obc,Physics,2103,783,967,IIT Hyderabad 
Obc,Chemistry,2201,523,610,IIT Indore 
Obc,Physics,2202,256,315,IIT Indore 
Obc,Mathematics,2203,232,370,IIT Indore 
Obc,Mathematics,2301,220,264,IIT Ropar 
Obc,Chemistry,2302,215,279,IIT Ropar 
Obc,Physics,2303,290,325,IIT Ropar 
Obc,Chemistry,2501,500,615,IIT Patna 
Obc,Mathematics,2502,420,530,IIT Patna 
Obc,Physics,2503,680,820,IIT Patna 
Sc,Biological Sciences,1101,55,67,IISc Bangalore 
Sc,Biotechnology,1101,69,110,IISc Bangalore 
Sc,Applied Geology,1201,69,190,IIT Bombay 
Sc,Applied Geophysics,1202,980,1110,IIT Bombay 
Sc,Applied Statistics & Informatics,1203,155,357,IIT Bombay 
Sc,Biotechnology,1204,174,630,IIT Bombay 
Sc,Chemistry,1205,60,700,IIT Bombay 
Sc,Mathematics,1206,110,351,IIT Bombay 
Sc,Physics,1207,398,948,IIT Bombay 
Sc,Environmental Science andEngineering – Mathematics,1213,1600,1630,IIT Bombay 
Sc,Operational Research – Mathematics,1214,670,680,IIT Bombay 
Sc,Operational Research – Mathematical Statistics,1214,340,360,IIT Bombay 
Sc,M.Sc. (Physics) ? MTech (Materials Sciences with specialization in Nano Science & Technology),1216,1490,1520,IIT Bombay 
Sc,Chemistry,1301,289,510,IIT Delhi 
Sc,Mathematics,1302,185,756,IIT Delhi 
Sc,Physics,1303,500,1700,IIT Delhi 
Sc,Chemistry,1401,670,1234,IIT Guwahati 
Sc,Mathematics & Computing,1402,903,1201,IIT Guwahati 
Sc,Physics,1403,1481,3391,IIT Guwahati 
Sc,Chemistry,1501,230,421,IIT Kanpur 
Sc,Mathematics,1502,200,837,IIT Kanpur 
Sc,Physics,1503,151,1300,IIT Kanpur 
Sc,Statistics,1504,55,498,IIT Kanpur 
Sc,Physics,1505,1000,2500,IIT Kanpur 
Sc,Chemistry,1601,217,647,IIT Kharagpur 
Sc,Geology,1602,68,256,IIT Kharagpur 
Sc,Mathematics,1603,526,776,IIT Kharagpur 
Sc,Physics,1604,670,980,IIT Kharagpur 
Sc,Geophysics (GG),1605,388,407,IIT Kharagpur 
Sc,Chemistry,1701,1100,1300,IT Madras 
Sc,Mathematics,1702,900,1500,IT Madras 
Sc,Physics,1703,1100,1913,IT Madras 
Sc,Applied Geology,1801,301,335,IIT Roorkee 
Sc,Biotechnology,1802,113,530,IIT Roorkee 
Sc,Chemistry,1803,740,908,IIT Roorkee 
Sc,Mathematics,1804,702,914,IIT Roorkee 
Sc,Physics,1805,1890,2043,IIT Roorkee 
Sc,Economics (MA),1806,1473,1605,IIT Roorkee 
Sc,Economics (MS),1806,523,540,IIT Roorkee 
Sc,Chemistry,1901,1280,1538,IIT Bhubaneswar 
Sc,Mathematics,1902,1100,2223,IIT Bhubaneswar 
Sc,Physics,1903,1930,2300,IIT Bhubaneswar 
Sc,Geology,1904,230,379,IIT Bhubaneswar 
Sc,Atmosphere andOcean Sciences (CY),1905,2059,2100,IIT Bhubaneswar 
Sc,Atmosphere andOcean Sciences (PH),1905,2460,2510,IIT Bhubaneswar 
Sc,Chemistry,2001,1384,1543,IIT Gandhinagar 
Sc,Mathematics,2002,1459,1645,IIT Gandhinagar 
Sc,Physics,2003,1378,1750,IIT Gandhinagar 
